X,Y,por_kmap,por_vmap
280.0,409.0,"[0.1073641  0.10848685 0.10962338 0.1107619  0.11189063 0.10903849
 0.10710267 0.10764486 0.10831361 0.10962642 0.11048807 0.11141471
 0.11134466 0.112249   0.11327547 0.11463837 0.11583209 0.11714776
 0.11858323 0.12005732 0.120381   0.11954559 0.11771412 0.11679704
 0.11615127 0.11576663 0.1156227  0.11644557 0.11681635 0.11735273
 0.11803277 0.11883876 0.11975774 0.12078138 0.12165432 0.12309256
 0.12431437 0.12554744 0.12699161 0.12821301 0.12801317 0.12858533
 0.12902118 0.12940901 0.12980508 0.13026558 0.13081537 0.13140667
 0.13148879 0.13187463 0.13162823 0.13165529 0.13140216 0.1312259
 0.13096509 0.13066812 0.13038053 0.1316916  0.13102248 0.13020259
 0.12936162 0.12850922 0.12719746 0.12628835 0.12548074 0.12466216
 0.12384667 0.12303884 0.12216668 0.12122299 0.12053053 0.11986602
 0.11920637 0.1187847  0.11790796 0.11702177 0.11612978 0.11523838
 0.11435723 0.11349958 0.11263143 0.11174896 0.11093474 0.11019665
 0.10896854 0.1077489  0.10656081 0.10540613 0.10430179 0.10326338
 0.1023051  0.10143976 0.10067864 0.10003135 0.09950582 0.098405
 0.09788029 0.09737453 0.0970676  0.09686727]","[0.96534435 0.95304949 0.93799107 0.91986401 0.89837632 0.86940615
 0.83825701 0.80400014 0.76573751 0.72311874 0.67657008 0.62576225
 0.56948856 0.50967596 0.44557282 0.37622099 0.3035841  0.22600569
 0.14365494 0.06122485 0.06078033 0.14103303 0.21775706 0.28742185
 0.34936482 0.4036814  0.45041238 0.48995676 0.52143572 0.54503969
 0.56064026 0.56814932 0.5675445  0.55889923 0.54147636 0.51809635
 0.48708065 0.45094192 0.41130952 0.37305867 0.34101465 0.3210868
 0.31729913 0.32794676 0.34677669 0.36727012 0.3852941  0.39931443
 0.41007105 0.41937525 0.43164335 0.44716896 0.46847096 0.49542726
 0.52652813 0.5598996  0.59366928 0.62691522 0.65563882 0.68171415
 0.70436056 0.7234465  0.74008285 0.75251661 0.76158262 0.76746917
 0.77054705 0.77114663 0.76959615 0.76073911 0.75448467 0.74676415
 0.73752942 0.72899336 0.71650891 0.70354197 0.69034792 0.67716584
 0.66419728 0.65158177 0.63938703 0.62764314 0.61724743 0.60688024
 0.59763466 0.59029064 0.58537671 0.58324267 0.58396547 0.58737793
 0.59323239 0.60137563 0.611823   0.62469774 0.640087   0.65950073
 0.68040618 0.70641383 0.73019856 0.75485522]"
230.0,749.0,"[0.1082381  0.10944007 0.11065375 0.11186662 0.10784829 0.1065684
 0.10796947 0.10867395 0.10947747 0.11036268 0.11131299 0.11231276
 0.11228702 0.11322894 0.11426629 0.11559312 0.11672176 0.11790212
 0.11906961 0.12001143 0.12028483 0.11924327 0.11832612 0.11757807
 0.11707413 0.11682519 0.11681457 0.11701317 0.11738798 0.11790733
 0.11927211 0.12012084 0.1206776  0.12169742 0.1228144  0.12403004
 0.12590779 0.12694582 0.12814001 0.1294656  0.1308651  0.13224729
 0.13127583 0.13159619 0.13192769 0.13237574 0.13297316 0.13360315
 0.13430827 0.13445632 0.13507787 0.13441313 0.13431154 0.13402776
 0.13362975 0.13318665 0.13275556 0.13403459 0.13333838 0.1324796
 0.13160295 0.13071705 0.12982952 0.12894739 0.12775633 0.12691173
 0.12607201 0.12502662 0.1241773  0.12334901 0.12254062 0.12184355
 0.12119553 0.12074099 0.11981627 0.11887132 0.11790788 0.1169309
 0.1159491  0.11497552 0.11402782 0.11292382 0.11191685 0.11090891
 0.1097821  0.10844226 0.1073314  0.1060665  0.10485681 0.1037187
 0.10266699 0.10171503 0.10087451 0.10015519 0.09956469 0.0986295
 0.09807178 0.09762025 0.09727519 0.09678713]","[0.96368648 0.95101392 0.93553688 0.91695584 0.89184886 0.86282052
 0.83127088 0.79652694 0.75791754 0.71537059 0.66883839 0.6183101
 0.56266816 0.50407043 0.44201681 0.37611113 0.30890095 0.24061473
 0.17565852 0.12812811 0.1269013  0.17050522 0.22911162 0.28836158
 0.34379349 0.39379834 0.43757309 0.47456148 0.50430802 0.5264286
 0.54103266 0.54717172 0.54395175 0.53320546 0.51411832 0.48685862
 0.45196122 0.40975355 0.36251934 0.31377025 0.27005082 0.24174256
 0.23858646 0.25703488 0.28471918 0.31131264 0.33198572 0.34557414
 0.3533736  0.3590233  0.36680476 0.38217359 0.4055146  0.43666226
 0.47308975 0.51185999 0.55046571 0.5878073  0.61950223 0.64781029
 0.67191738 0.69180545 0.70761443 0.71958761 0.72870227 0.73371954
 0.73578474 0.7309932  0.72726956 0.72155728 0.71404872 0.70496681
 0.69450527 0.68468248 0.67077333 0.65635539 0.64171439 0.62713337
 0.61285945 0.59905315 0.58574894 0.5727997  0.56041171 0.54855195
 0.53770456 0.52875592 0.52362378 0.52118234 0.52226593 0.52647102
 0.53329092 0.54247099 0.55413644 0.56864547 0.58629969 0.60772366
 0.63204874 0.65887702 0.68742906 0.72025047]"
300.0,500.0,"[0.10914014 0.11042143 0.11171254 0.1071022  0.10720457 0.10779077
 0.1085052  0.10932795 0.11023918 0.11121932 0.11224906 0.11330951
 0.11332282 0.11427772 0.1155504  0.11653744 0.11753888 0.11850943
 0.11936798 0.11997445 0.12018903 0.11934753 0.11869214 0.1181674
 0.11786412 0.11746144 0.11757836 0.1179005  0.11842364 0.11904959
 0.11977727 0.12043611 0.12199267 0.12303022 0.12433589 0.12548837
 0.12668782 0.12809563 0.12932564 0.13072007 0.13228974 0.13371961
 0.1348373  0.13385842 0.13411522 0.13459866 0.13498934 0.13572422
 0.136633   0.13687469 0.1377143  0.13805397 0.13727408 0.13684377
 0.13627669 0.13566948 0.13508881 0.13457841 0.13556028 0.13467014
 0.13376532 0.13285294 0.13193977 0.13103259 0.13025089 0.12948458
 0.12804476 0.12717222 0.12631695 0.12548014 0.12466085 0.12386433
 0.12319526 0.12236787 0.12175211 0.12075904 0.11973333 0.11867811
 0.1174801  0.11642953 0.11538433 0.11426471 0.11310413 0.11193548
 0.11082093 0.10935609 0.10791185 0.10650251 0.10515136 0.10415075
 0.10300587 0.10196833 0.10105051 0.10026252 0.09961162 0.09910228
 0.09809358 0.09761352 0.09724255 0.09698004]","[0.96167858 0.94862696 0.93274979 0.90974762 0.88324875 0.85551186
 0.82421671 0.78928721 0.75065911 0.70829566 0.66220725 0.61247687
 0.55814001 0.5015968  0.44154179 0.38180499 0.32209896 0.26532773
 0.21699322 0.1866633  0.18440803 0.20896247 0.24940805 0.29582425
 0.34263463 0.38667979 0.42651115 0.46078343 0.48820969 0.50880479
 0.52177461 0.52626557 0.5230551  0.51110143 0.49002731 0.46070616
 0.42259165 0.37639995 0.32167159 0.26159688 0.20194146 0.15834432
 0.15551577 0.18855692 0.22809227 0.26074077 0.28324715 0.29493937
 0.297863   0.29665941 0.29901329 0.31164745 0.33887478 0.37630248
 0.41984331 0.46508236 0.50893747 0.54948403 0.58467626 0.61477208
 0.63981561 0.65994996 0.67546217 0.68673031 0.693863   0.69581107
 0.6945822  0.69175842 0.68670348 0.67968722 0.6708961  0.66045403
 0.64853828 0.6353379  0.6218819  0.60594273 0.5897759  0.57372931
 0.55784006 0.54307158 0.52891467 0.51515017 0.5015156  0.48801715
 0.47522579 0.46436713 0.45694626 0.45396252 0.45543474 0.46206906
 0.47005943 0.48020039 0.49287085 0.50889521 0.52895285 0.55314608
 0.58204596 0.61345143 0.6467496  0.68086878]"
620.0,389.0,"[0.11006163 0.11142252 0.10769043 0.10840419 0.10761231 0.10833064
 0.10917003 0.11010872 0.11112473 0.11219587 0.11329977 0.11441374
 0.1144672  0.115421   0.11663802 0.1175386  0.11839324 0.11914993
 0.11974397 0.12010953 0.12022394 0.11927393 0.11869253 0.11828324
 0.1181399  0.11826714 0.11861003 0.11914001 0.11981062 0.12058058
 0.12127644 0.12213195 0.12302655 0.12411036 0.12551672 0.12671823
 0.12770573 0.12920444 0.13044419 0.13187438 0.13354413 0.1352582
 0.13626179 0.13660908 0.13559825 0.13609405 0.13685576 0.13790492
 0.13895152 0.13961833 0.14063787 0.14098509 0.14024039 0.13959901
 0.13882657 0.13804481 0.13731931 0.13684403 0.13765624 0.13674669
 0.13582426 0.13489431 0.1339629  0.13307259 0.13210066 0.13124635
 0.13041076 0.1292442  0.12838584 0.12754988 0.12673427 0.12593416
 0.12518568 0.12434041 0.12369895 0.12266981 0.1214452  0.12035854
 0.11922648 0.11806083 0.11688042 0.11563435 0.11431346 0.11297721
 0.11166005 0.11024134 0.10867906 0.10716546 0.10570996 0.10434088
 0.10307069 0.10219195 0.10119916 0.10034649 0.09964086 0.09908504
 0.09809956 0.09759723 0.09720586 0.0969238 ]","[0.95908885 0.94563649 0.92314716 0.90258327 0.87616298 0.84811933
 0.81667024 0.78175254 0.743323   0.70137798 0.65597992 0.60729435
 0.55451406 0.50020156 0.44352101 0.38841904 0.33534396 0.28750565
 0.24945472 0.22665313 0.22312533 0.23771595 0.26579311 0.30151781
 0.34047501 0.3790081  0.41501808 0.44665983 0.47264015 0.49202902
 0.50374324 0.50796377 0.50408069 0.49144686 0.47047964 0.44052841
 0.40121709 0.35312803 0.294132   0.22596194 0.15004493 0.07591103
 0.07388161 0.13294262 0.18256725 0.21832077 0.24077695 0.24938257
 0.24509548 0.23396309 0.22666549 0.23692385 0.26985084 0.31703762
 0.36978354 0.42221747 0.47120428 0.5144045  0.55238316 0.583505
 0.60872483 0.62837411 0.64290059 0.65133061 0.65525392 0.65628365
 0.65422006 0.65023515 0.64367639 0.63522841 0.6250449  0.61322238
 0.599834   0.58509044 0.57008298 0.55256573 0.53434601 0.51693552
 0.50012134 0.48430319 0.46949789 0.45520471 0.44066129 0.42542979
 0.41006001 0.39639162 0.38707642 0.38400238 0.38702702 0.39414028
 0.40323731 0.4152997  0.42842132 0.44563414 0.46826549 0.49648198
 0.53025045 0.56710586 0.60587379 0.64518819]"
370.0,689.0,"[0.11099383 0.10724228 0.1079583  0.10743053 0.10814321 0.10899313
 0.10995717 0.11101158 0.11213208 0.11329379 0.11447116 0.11563769
 0.11573961 0.1166898  0.11785079 0.11866719 0.11938453 0.11994912
 0.12039306 0.120403   0.12024525 0.11936123 0.11886102 0.11863353
 0.11870849 0.11909255 0.11969397 0.12046086 0.12133334 0.12213032
 0.12287548 0.12399214 0.12491635 0.12583756 0.12692389 0.12801115
 0.12891965 0.12998465 0.13151986 0.1328374  0.13439696 0.1360775
 0.13695702 0.13708495 0.13763949 0.13714379 0.1380653  0.13925744
 0.14092767 0.14239858 0.14379175 0.14396612 0.14352312 0.14216303
 0.1411673  0.14022587 0.13938104 0.13881434 0.138266   0.13868442
 0.13775795 0.13685395 0.13591736 0.13486935 0.13398864 0.13311957
 0.1322715  0.13145225 0.13066708 0.12953424 0.12873393 0.12795196
 0.12719503 0.12629736 0.12546061 0.12444948 0.12406438 0.12289201
 0.12165254 0.12035564 0.11901981 0.1176476  0.11614203 0.11461832
 0.11311758 0.11167865 0.10939705 0.10777235 0.10622523 0.1047582
 0.10340232 0.10216742 0.10106967 0.10040076 0.09964755 0.09905372
 0.09808999 0.09757233 0.09716623 0.09686917]","[0.95566258 0.9342411  0.91609987 0.89312118 0.86806589 0.83982818
 0.80834816 0.77357376 0.73547652 0.69407242 0.64945129 0.60181952
 0.55047962 0.49800968 0.44388555 0.39195209 0.34299759 0.3000919
 0.26684579 0.24670795 0.24155766 0.25045436 0.27106227 0.29982807
 0.33318809 0.3681441  0.40163236 0.4315721  0.45639094 0.47465049
 0.4859002  0.48997313 0.48660717 0.47511611 0.4551069  0.42632076
 0.388163   0.34041443 0.28350284 0.21583021 0.13936101 0.05957047
 0.05315929 0.10673024 0.14895311 0.18297472 0.20549464 0.21169167
 0.19998503 0.17401092 0.14948408 0.15670842 0.20230008 0.26443355
 0.32759159 0.38666473 0.43961618 0.48489098 0.52325302 0.55478166
 0.57918655 0.59618549 0.60849537 0.61502565 0.61763771 0.61658296
 0.61258703 0.60621011 0.5978165  0.58836263 0.57673466 0.5634661
 0.54860947 0.53231268 0.51504254 0.496192   0.47422055 0.45514033
 0.43692817 0.42038232 0.40569624 0.39196914 0.37748824 0.36080655
 0.34207503 0.32398378 0.31313694 0.31008852 0.31607307 0.32666128
 0.3375687  0.3478786  0.35991686 0.37894747 0.40447546 0.43776326
 0.47770086 0.52110263 0.56611756 0.61109138]"
370.0,379.0,"[0.10677245 0.10747387 0.10859739 0.10793786 0.10878758 0.10976987
 0.11085993 0.11203202 0.11325956 0.11451501 0.11576978 0.11699395
 0.11715926 0.11811366 0.11923205 0.11998398 0.12083442 0.12110653
 0.1211444  0.12093498 0.12055405 0.1195615  0.1190677  0.11898223
 0.11931209 0.11997716 0.12089711 0.12180275 0.12275592 0.12384779
 0.12505625 0.12605283 0.1269987  0.12789588 0.12871848 0.12932483
 0.13001415 0.13111509 0.13215441 0.13362732 0.13474208 0.13580979
 0.1364965  0.13691973 0.13758455 0.13880874 0.13902674 0.14064926
 0.14252151 0.14459122 0.14652801 0.14690862 0.14596921 0.14474943
 0.14315958 0.14212207 0.14121208 0.14059366 0.13999488 0.14046345
 0.13958328 0.13865577 0.13760637 0.1366524  0.13575966 0.13487809
 0.13401999 0.13319587 0.13241301 0.13167412 0.1306337  0.12988462
 0.12977341 0.12871511 0.12802222 0.12697617 0.12583997 0.12461178
 0.12329307 0.12188876 0.12041382 0.11887389 0.11718495 0.11547259
 0.11378521 0.11216561 0.11042684 0.1086992  0.10706785 0.10554182
 0.10368639 0.102373   0.10120849 0.10021198 0.09962839 0.09900754
 0.09854702 0.09754196 0.09712637 0.09681824]","[0.94244403 0.92635286 0.90728447 0.88408316 0.85874074 0.8303778
 0.79894207 0.76438911 0.72669594 0.68587928 0.64202205 0.59531353
 0.54508863 0.49376538 0.44093478 0.39012261 0.34212081 0.30014357
 0.26733457 0.24665178 0.23950075 0.24499348 0.26165884 0.28715352
 0.31844508 0.35201411 0.38495149 0.41415814 0.4382422  0.45652116
 0.4680621  0.47293637 0.47060732 0.4607581  0.44301364 0.41694611
 0.38222825 0.33879728 0.28687907 0.22816532 0.16568317 0.11256052
 0.09014587 0.09413309 0.11586058 0.15056608 0.17813221 0.18588624
 0.16944764 0.12852808 0.07225076 0.07585491 0.15070657 0.22807214
 0.29927473 0.36193265 0.41624683 0.46152793 0.49902297 0.52910845
 0.55015232 0.5656111  0.57469526 0.5789345  0.5787811  0.57512348
 0.56881321 0.56048264 0.55048101 0.53888623 0.52622685 0.51150174
 0.49227625 0.47463763 0.45673482 0.43640976 0.4154198  0.39423991
 0.3740812  0.35664818 0.3428368  0.33129656 0.31863745 0.30141279
 0.27850467 0.25324431 0.23444009 0.23159813 0.24367262 0.26001525
 0.27375495 0.28191754 0.29084185 0.30777062 0.33797278 0.37820437
 0.42550858 0.47732574 0.52925545 0.58013326]"
830.0,729.0,"[0.10695648 0.10779521 0.10909366 0.10854744 0.10953528 0.11065201
 0.11187113 0.11316501 0.1145048  0.11586048 0.11720072 0.11849271
 0.1187415  0.1197155  0.12113811 0.12178526 0.12229575 0.12259318
 0.12259246 0.12223974 0.12162262 0.12047624 0.1199569  0.12010015
 0.11997984 0.12090041 0.12217583 0.12340342 0.12472144 0.12610925
 0.12726314 0.12831446 0.1292584  0.13017392 0.13064402 0.13113689
 0.13167354 0.13227155 0.13305878 0.13424536 0.13497101 0.13561566
 0.13606111 0.13639006 0.13723277 0.13879769 0.14040441 0.14166997
 0.14365839 0.14589235 0.14795897 0.14833087 0.14720558 0.14612167
 0.14468519 0.14366588 0.14276911 0.14215149 0.14157951 0.14210595
 0.1412253  0.14023241 0.13926351 0.13830064 0.13739641 0.13650165
 0.13563296 0.13480488 0.1340279  0.13391651 0.1332073  0.13205382
 0.13138256 0.13053994 0.12984357 0.12875276 0.12759132 0.12631777
 0.12493293 0.12343181 0.12181756 0.12008875 0.1182025  0.11629289
 0.11441653 0.11261792 0.11093579 0.1090306  0.10731364 0.10570515
 0.10420992 0.1028276  0.10161874 0.10025508 0.09941577 0.09875501
 0.09847766 0.09751195 0.09709063 0.09677403]","[0.93366419 0.91693045 0.8972119  0.87355504 0.84795045 0.81949302
 0.78813859 0.75384818 0.71659707 0.6763864  0.63326074 0.58733685
 0.53790223 0.48704602 0.43402889 0.38247619 0.3326561  0.2875022
 0.25089959 0.2267956  0.21706433 0.22062429 0.23602029 0.26181719
 0.29509838 0.33041253 0.36450493 0.39452021 0.41900395 0.43725116
 0.44938286 0.45515555 0.45448099 0.44713774 0.4327681  0.41096247
 0.38147206 0.34432014 0.30010704 0.25114719 0.19910013 0.15019752
 0.10578973 0.06134185 0.06735466 0.12327788 0.16270005 0.17632516
 0.16249934 0.12152073 0.05883518 0.0615687  0.1422678  0.21987415
 0.28950449 0.35017425 0.40212364 0.44480849 0.47850854 0.50518212
 0.52398315 0.5357718  0.54160886 0.54229408 0.5386901  0.53185447
 0.52282618 0.51235841 0.50077774 0.48525056 0.47119716 0.45533143
 0.43776182 0.41866729 0.39917169 0.37762111 0.35506137 0.33145199
 0.30837839 0.28942615 0.27760777 0.27123667 0.26388586 0.24865835
 0.22182705 0.18556829 0.15363322 0.15139723 0.17685525 0.20267664
 0.21583176 0.21758666 0.21847188 0.23399265 0.26923808 0.31953068
 0.37801547 0.43852951 0.49757895 0.55413599]"
200.0,500.0,"[0.10721889 0.10841361 0.10827272 0.10924751 0.11037537 0.1116297
 0.11298247 0.11440415 0.11586379 0.11732904 0.11861287 0.11989432
 0.12022431 0.12143074 0.12246679 0.1231704  0.12372416 0.12404283
 0.12401067 0.12341589 0.1222512  0.12058093 0.11982044 0.12007038
 0.12126162 0.12286286 0.12461657 0.1262144  0.12706889 0.12847324
 0.12972348 0.13080417 0.13171538 0.13235436 0.13271083 0.13304709
 0.13338959 0.13375847 0.13416106 0.1345443  0.13530175 0.13566296
 0.13594209 0.13619569 0.13715234 0.13866262 0.14042084 0.14238237
 0.14425896 0.14619418 0.14758262 0.14797363 0.1474842  0.14672942
 0.14596705 0.14496902 0.14403993 0.14351224 0.14294804 0.14246693
 0.14265526 0.14173486 0.14077706 0.13980264 0.1388838  0.13797108
 0.13708697 0.13682372 0.13600779 0.13526849 0.1344148  0.13386629
 0.13303687 0.13225954 0.13158221 0.13046448 0.12927961 0.12796634
 0.1265338  0.12495847 0.12320605 0.12125679 0.11915441 0.11704236
 0.11498289 0.11301607 0.11117348 0.10930237 0.1075252  0.10584506
 0.10426787 0.10281464 0.10151323 0.10045532 0.09963867 0.09877191
 0.09827068 0.0974907  0.09706451 0.09673996]","[0.9232303  0.90554684 0.88455164 0.86132539 0.83545021 0.80689623
 0.77563019 0.74162056 0.70484047 0.66526971 0.62288839 0.57771143
 0.52894014 0.47792153 0.42462303 0.37074785 0.31654315 0.26455021
 0.21929106 0.18827861 0.1757908  0.17859375 0.19488418 0.22510158
 0.26426895 0.30480566 0.34186214 0.37268948 0.3979812  0.41644256
 0.42890012 0.4357489  0.43716723 0.43303533 0.42295247 0.40650043
 0.38336163 0.35350312 0.31737411 0.27602254 0.23121639 0.1822049
 0.12668586 0.06033448 0.05948687 0.123854   0.16766286 0.18613907
 0.18042015 0.15561297 0.12817452 0.13359353 0.17954457 0.2389918
 0.29744599 0.35069815 0.39661726 0.43324274 0.46281027 0.48480653
 0.49955693 0.50719561 0.50874272 0.50510865 0.49731468 0.48664193
 0.47443647 0.459299   0.44671062 0.43342441 0.41819626 0.40108258
 0.38178549 0.36070984 0.33977259 0.31790454 0.29483721 0.26881159
 0.24089934 0.21806078 0.20935201 0.21319657 0.21681866 0.2083522
 0.18124681 0.13360896 0.0736024  0.07237054 0.12626783 0.1620628
 0.1720131  0.16057906 0.14436627 0.15520229 0.20339164 0.26938512
 0.33886748 0.4084036  0.47376236 0.53502024]"
900.0,699.0,"[0.10754683 0.10890381 0.10890828 0.11002526 0.11129566 0.11269172
 0.11418395 0.11549684 0.11692371 0.11838274 0.11983668 0.12156933
 0.12197972 0.12297823 0.12408887 0.12487558 0.12551789 0.12596209
 0.12602963 0.12537733 0.12343728 0.12066212 0.1194464  0.12034375
 0.12218702 0.1243032  0.12628885 0.12838405 0.13020943 0.13194352
 0.13339995 0.13354764 0.13443579 0.13473009 0.13492686 0.13506361
 0.13517598 0.13529141 0.13542437 0.1355309  0.13578569 0.13595117
 0.13616241 0.1365404  0.1375861  0.13880836 0.14035926 0.14219211
 0.14427311 0.14609536 0.14706727 0.14746357 0.14729202 0.14690476
 0.14640768 0.14567598 0.1451427  0.14462405 0.1441329  0.14366701
 0.14397437 0.14308879 0.14214294 0.14115084 0.14020955 0.13981666
 0.13885662 0.13796089 0.13715101 0.13624641 0.13568829 0.13520362
 0.13469951 0.13384139 0.1331994  0.13211058 0.1308483  0.12948218
 0.12802245 0.12642805 0.1245421  0.12231605 0.11997729 0.11767074
 0.11545004 0.11334434 0.11137576 0.10959706 0.10772564 0.10597781
 0.1043274  0.10278505 0.10137747 0.10028328 0.09951009 0.09889063
 0.09840662 0.09740629 0.09705324 0.09671897]","[0.91100594 0.8925057  0.87088376 0.84718181 0.82099734 0.79231518
 0.76111861 0.72736577 0.69104321 0.65213327 0.61059103 0.56562453
 0.51811738 0.46793323 0.41406141 0.35783069 0.298524   0.2370757
 0.17798144 0.13277971 0.1181146  0.12133804 0.13888032 0.18061185
 0.23134451 0.27907022 0.3191833  0.35110587 0.37531043 0.39321557
 0.40540264 0.41367603 0.41744602 0.41708491 0.41208957 0.40185232
 0.38583262 0.36376865 0.33579035 0.30235365 0.26459515 0.22115153
 0.17451249 0.13515727 0.13186816 0.16342083 0.19574558 0.21367034
 0.2152212  0.20545917 0.19654776 0.20384381 0.232171   0.27321922
 0.31760374 0.36004579 0.39664762 0.42684196 0.45037235 0.4669415
 0.47669772 0.4794483  0.47607602 0.46742059 0.45464664 0.43713582
 0.42152946 0.40668021 0.39307677 0.37945604 0.36481256 0.34673809
 0.32480444 0.30106444 0.27850333 0.2579295  0.23728139 0.21066897
 0.17545662 0.1419174  0.13704213 0.16038101 0.18211923 0.18602779
 0.16660081 0.12256705 0.05879029 0.05804597 0.11628562 0.14862998
 0.14974744 0.12044457 0.07047005 0.075944   0.15341159 0.23651225
 0.31586208 0.39073694 0.46037419 0.52445662]"
390.0,669.0,"[0.10806557 0.10943731 0.10960627 0.1108666  0.11228239 0.1134538
 0.11489186 0.11643015 0.11803146 0.11965708 0.12161545 0.12307561
 0.12367636 0.12478476 0.12597993 0.1268584  0.12761634 0.12817733
 0.12851489 0.12840644 0.12559771 0.12052735 0.11898666 0.12120706
 0.12382789 0.12627155 0.12873205 0.13091634 0.13288775 0.13467653
 0.13613806 0.13729509 0.13803818 0.13730576 0.13729153 0.13718408
 0.13703242 0.1368748  0.13670907 0.13654721 0.13644262 0.13639133
 0.1365222  0.13718603 0.13795183 0.13895893 0.14025925 0.14185508
 0.14372405 0.14550849 0.14658054 0.14697044 0.14694563 0.14683769
 0.14659971 0.14636848 0.14582406 0.14559751 0.14515257 0.14474441
 0.14514728 0.14429943 0.14336209 0.14234205 0.14184688 0.1408115
 0.13981377 0.13889156 0.13788032 0.13724659 0.1367305  0.13631977
 0.13587993 0.13538984 0.13466733 0.13359064 0.13222768 0.13073931
 0.12923588 0.12774112 0.12573381 0.12313375 0.12057587 0.1181164
 0.11577785 0.11357731 0.11153445 0.10967502 0.10791589 0.10610952
 0.10441052 0.10282291 0.10136529 0.10024642 0.09946485 0.09882648
 0.09832252 0.0979557  0.09700984 0.09671224]","[0.8967505  0.87746704 0.85516679 0.83092063 0.80436009 0.77542989
 0.74417486 0.71061872 0.67478373 0.63666562 0.59537816 0.55282003
 0.50670199 0.45767581 0.40448422 0.34762816 0.2852182  0.21696645
 0.14216716 0.06668    0.05426824 0.05834682 0.0725921  0.14068055
 0.20532863 0.25825048 0.2994643  0.33025088 0.35231415 0.36801502
 0.37915795 0.38743263 0.3935902  0.39797193 0.39885681 0.39563068
 0.387381   0.37354471 0.3539878  0.32894375 0.29913286 0.26630861
 0.2332247  0.20901062 0.20490703 0.21935384 0.23891192 0.25286505
 0.25790874 0.25672474 0.25630681 0.26404493 0.28309944 0.31076915
 0.34225315 0.37262351 0.40046721 0.42289186 0.43971785 0.45035242
 0.4547359  0.45231107 0.44368115 0.42947048 0.40920304 0.38853455
 0.36807262 0.35040948 0.33622531 0.3248493  0.31197052 0.29388552
 0.26908972 0.24012584 0.21437791 0.19739051 0.18540909 0.16485595
 0.12472858 0.06585488 0.06479674 0.12430248 0.16650969 0.18435103
 0.17855907 0.15403238 0.12616608 0.12516136 0.14872364 0.16428153
 0.15609634 0.11975079 0.0591709  0.06272466 0.14768377 0.23318737
 0.31373796 0.38860755 0.45894299 0.52340174]"
